QTLID	SourceID	Canopy_Level	Method	sample_size	Chr	Start	End	LOD	LRT	p_value
330	"Pan et al.,2017"	4	QTL_Mapping	188	8	110637493	111350785	3.6		
331	"Pan et al.,2017"	4	Joint_Linkage	1887	8	130277064	130332424		3.01	
332	"Pan et al.,2017"	4	QTL_Mapping	188	8	134024917	135552907	6.4		
333	"Pan et al.,2017"	4	Joint_Linkage	1887	8	145395217	145536755		3.52	
334	"Pan et al.,2017"	4	Joint_Linkage	1887	8	150676575	150726131		6.1	
335	"Pan et al.,2017"	4	Joint_Linkage	1887	8	151007678	151161863		2.83	
336	"Pan et al.,2017"	4	QTL_Mapping	188	8	152947839	153017583	3.1		
337	"Pan et al.,2017"	4	Joint_Linkage	1887	8	153815934	153873151		10.96	
338	"Pan et al.,2017"	4	QTL_Mapping	188	8	157503617	157507989	12.7		
339	"Pan et al.,2017"	4	Joint_Linkage	1887	8	158518140	158542035		2.86	
340	"Pan et al.,2017"	4	Joint_Linkage	1887	8	158945616	158978510		4.8	
341	"Pan et al.,2017"	4	Joint_Linkage	1887	8	159579292	159705370		3.31	
342	"Pan et al.,2017"	4	QTL_Mapping	188	8	159641923	159641923	14.5		
343	"Pan et al.,2017"	4	Joint_Linkage	1887	8	160214557	160291001		3.48	
344	"Pan et al.,2017"	4	Joint_Linkage	1887	8	163278795	163292649		6.07	
345	"Pan et al.,2017"	4	Joint_Linkage	1887	8	164868042	164924878		3.73	
346	"Pan et al.,2017"	4	Joint_Linkage	1887	8	165138509	165145348		3.17	
347	"Pan et al.,2017"	4	Joint_Linkage	1887	8	165724384	165758091		6.17	
348	"Pan et al.,2017"	4	Joint_Linkage	1887	8	166341680	166374551		11.6	
349	"Pan et al.,2017"	4	QTL_Mapping	188	9	11238082	11238266	3.6		
350	"Pan et al.,2017"	4	QTL_Mapping	188	9	24153074	24345287	3.4		
351	"Pan et al.,2017"	4	QTL_Mapping	188	9	78707864	87043605	4.1		
352	"Pan et al.,2017"	4	QTL_Mapping	188	9	108482593	109317441	3.5		
353	"Pan et al.,2017"	4	Joint_Linkage	1887	9	139529219	139716960		3.18	
354	"Pan et al.,2017"	4	QTL_Mapping	188	9	140001347	140001347	3.6		
355	"Pan et al.,2017"	4	Joint_Linkage	1887	9	142426013	142433076		5.24	
356	"Pan et al.,2017"	4	QTL_Mapping	188	9	143202981	143207235	4.9		
357	"Pan et al.,2017"	4	Joint_Linkage	1887	9	143724326	143823444		2.84	
358	"Pan et al.,2017"	4	Joint_Linkage	1887	9	144486813	144557184		3.25	
359	"Pan et al.,2017"	4	Joint_Linkage	1887	10	8898509	9009220		3.7	
360	"Pan et al.,2017"	4	QTL_Mapping	188	10	16211953	18404694	4.1		
361	"Pan et al.,2017"	4	QTL_Mapping	188	10	80000723	81065284	4.2		
362	"Pan et al.,2017"	4	Joint_Linkage	1887	10	80548347	80658087		6.87	
363	"Pan et al.,2017"	4	Joint_Linkage	1887	10	85284640	85373557		7.3	
364	"Pan et al.,2017"	4	QTL_Mapping	188	10	94982507	94982817	3.1		
365	"Pan et al.,2017"	4	QTL_Mapping	188	10	113730242	119113276	4.6		
366	"Pan et al.,2017"	4	QTL_Mapping	188	10	133335102	133526856	3.3		
367	"Wang et al.,2017"	4	QTL_Mapping	220	1	24051133	24202730	4.31		
368	"Wang et al.,2017"	4	QTL_Mapping	220	1	24051133	24202730	6.94		
369	"Wang et al.,2017"	4	QTL_Mapping	220	1	25414526	27555829	8.3		
370	"Wang et al.,2017"	4	QTL_Mapping	220	2	3004689	4697715	8.03		
371	"Wang et al.,2017"	4	QTL_Mapping	220	2	3004689	4697715	8.45		
372	"Wang et al.,2017"	4	QTL_Mapping	220	2	3004689	4697715	11.15		
373	"Wang et al.,2017"	4	QTL_Mapping	220	2	218127545	219130520	2.77		
374	"Wang et al.,2017"	4	QTL_Mapping	220	4	82802932	83598359	3.9		
375	"Wang et al.,2017"	4	QTL_Mapping	220	5	29937149	32897590	5.49		
376	"Wang et al.,2017"	4	QTL_Mapping	220	5	173209694	180787777	8.07		
377	"Wang et al.,2017"	4	QTL_Mapping	220	5	173209694	180787777	4.76		
378	"Wang et al.,2017"	4	QTL_Mapping	220	5	186557645	188513354	3.9		
379	"Wang et al.,2017"	4	QTL_Mapping	220	6	161924948	163375134	3.02		
380	"Wang et al.,2017"	4	QTL_Mapping	220	7	121049064	122703734	13.72		
381	"Wang et al.,2017"	4	QTL_Mapping	220	7	121049064	122703734	8.81		
382	"Wang et al.,2017"	4	QTL_Mapping	220	7	121049064	122703734	12.4		
383	"Wang et al.,2017"	4	QTL_Mapping	220	10	147938674	148637945	3.23		
384	"Zhang et al.,2017"	3	QTL_Mapping	196	1	11109102	11109102	4.31		
385	"Zhang et al.,2017"	3	QTL_Mapping	196	1	199666129	199666129	4.66		
386	"Zhang et al.,2017"	3	QTL_Mapping	196	1	261019048	261019048	3.97		
387	"Zhang et al.,2017"	3	QTL_Mapping	196	1	269998511	269998511	4.2		
388	"Zhang et al.,2017"	3	QTL_Mapping	196	2	178548315	178548315	3.68		
389	"Zhang et al.,2017"	3	QTL_Mapping	196	3	195989508	195989508	4.39		
390	"Zhang et al.,2017"	3	QTL_Mapping	196	4	19351235	19351235	4.23		
391	"Zhang et al.,2017"	3	QTL_Mapping	196	5	49832407	49832407	4.74		
392	"Zhang et al.,2017"	3	QTL_Mapping	196	5	84170937	84170937	3.89		
393	"Zhang et al.,2017"	3	QTL_Mapping	196	5	187134558	187134558	4.34		
394	"Zhang et al.,2017"	3	QTL_Mapping	196	7	14378738	14378738	5.49		
395	"Zhang et al.,2017"	3	QTL_Mapping	196	7	29547166	29547166	6.92		
396	"Zhang et al.,2017"	3	QTL_Mapping	196	7	92968618	92968618	5.6		
397	"Zhang et al.,2017"	3	QTL_Mapping	196	7	135853027	135853027	3.6		
398	"Zhang et al.,2017"	3	QTL_Mapping	196	8	5894805	5894805	5.45		
399	"Zhang et al.,2017"	3	QTL_Mapping	196	8	99908257	99908257	5.47		
400	"Zhang et al.,2017"	3	QTL_Mapping	196	8	148617956	148617956	6.19		
401	"Zhang et al.,2017"	3	QTL_Mapping	196	9	67415265	67415265	3.59		
402	"Zhang et al.,2017"	3	QTL_Mapping	196	10	16211953	16211953	4.74		
403	"Zhang et al.,2017"	5	QTL_Mapping	196	1	66030259	66030259	6.02		
404	"Zhang et al.,2017"	5	QTL_Mapping	196	1	66301119	66301119	4.61		
405	"Zhang et al.,2017"	5	QTL_Mapping	196	1	68551660	68551660	6.39		
406	"Zhang et al.,2017"	5	QTL_Mapping	196	1	253776427	253776427	3.55		
407	"Zhang et al.,2017"	5	QTL_Mapping	196	2	3233846	3233846	6.35		
408	"Zhang et al.,2017"	5	QTL_Mapping	196	2	11957293	11957293	3.5		
409	"Zhang et al.,2017"	5	QTL_Mapping	196	4	15850606	15850606	4.66		
410	"Zhang et al.,2017"	5	QTL_Mapping	196	4	210130144	210130144	3.87		
411	"Zhang et al.,2017"	5	QTL_Mapping	196	5	9921515	9921515	5.47		
412	"Zhang et al.,2017"	5	QTL_Mapping	196	5	172960080	172960080	4.14		
413	"Zhang et al.,2017"	5	QTL_Mapping	196	5	186785855	186785855	4.13		
414	"Zhang et al.,2017"	5	QTL_Mapping	196	5	190798875	190798875	3.54		
415	"Zhang et al.,2017"	5	QTL_Mapping	196	5	215390736	215390736	3.93		
416	"Zhang et al.,2017"	5	QTL_Mapping	196	7	122370336	122370336	3.89		
417	"Zhang et al.,2017"	5	QTL_Mapping	196	7	124183277	124183277	5.66		
418	"Zhang et al.,2017"	5	QTL_Mapping	196	7	128179229	128179229	3.95		
419	"Zhang et al.,2017"	5	QTL_Mapping	196	7	129896750	129896750	4.29		
420	"Zhang et al.,2017"	5	QTL_Mapping	196	7	131684633	131684633	4.64		
421	"Zhang et al.,2017"	5	QTL_Mapping	196	8	75119563	75119563	3.92		
422	"Zhang et al.,2017"	5	QTL_Mapping	196	8	75119563	75119563	6.47		
423	"Zhang et al.,2017"	5	QTL_Mapping	196	8	166475958	166475958	4.98		
424	"Zhang et al.,2017"	5	QTL_Mapping	196	9	4507165	4507165	4.38		
425	"Zhang et al.,2017"	5	QTL_Mapping	196	10	77119274	77119274	5.08		
426	"Zhang et al.,2017"	5	QTL_Mapping	196	10	142499242	142499242	3.82		
427	"Zhang et al.,2017"	1	QTL_Mapping	196	1	21982917	21982917	3.6		
428	"Zhang et al.,2017"	1	QTL_Mapping	196	1	68551660	68551660	4.05		
429	"Zhang et al.,2017"	1	QTL_Mapping	196	1	230263475	230263475	3.64		
430	"Zhang et al.,2017"	1	QTL_Mapping	196	1	243079156	243079156	3.93		
431	"Zhang et al.,2017"	1	QTL_Mapping	196	1	243713365	243713365	5.74		
432	"Zhang et al.,2017"	1	QTL_Mapping	196	2	3233846	3233846	5.08		
433	"Zhang et al.,2017"	1	QTL_Mapping	196	2	13307850	13307850	3.86		
434	"Zhang et al.,2017"	1	QTL_Mapping	196	2	15144581	15144581	4.34		
435	"Zhang et al.,2017"	1	QTL_Mapping	196	2	192025993	192025993	3.81		
436	"Zhang et al.,2017"	1	QTL_Mapping	196	2	197033733	197033733	4.32		
437	"Zhang et al.,2017"	1	QTL_Mapping	196	2	203299494	203299494	6.04		
438	"Zhang et al.,2017"	1	QTL_Mapping	196	3	10328492	10328492	4.77		
439	"Zhang et al.,2017"	1	QTL_Mapping	196	4	188803390	188803390	3.91		
440	"Zhang et al.,2017"	1	QTL_Mapping	196	4	191945394	191945394	4.2		
441	"Zhang et al.,2017"	1	QTL_Mapping	196	5	30318687	30318687	3.88		
442	"Zhang et al.,2017"	1	QTL_Mapping	196	5	172960080	172960080	4.63		
443	"Zhang et al.,2017"	1	QTL_Mapping	196	5	215673520	215673520	3.58		
444	"Zhang et al.,2017"	1	QTL_Mapping	196	7	130289463	130289463	4.43		
445	"Zhang et al.,2017"	1	QTL_Mapping	196	8	74180042	74180042	3.76		
446	"Zhang et al.,2017"	1	QTL_Mapping	196	8	150847147	150847147	3.61		
447	"Zhang et al.,2017"	1	QTL_Mapping	196	8	166131256	166131256	5.66		
448	"Zhang et al.,2017"	1	QTL_Mapping	196	10	5485252	5485252	4.16		
449	"Zhang et al.,2017"	1	QTL_Mapping	196	10	77119274	77119274	4.84		
450	"Zhang et al.,2017"	1	QTL_Mapping	196	10	144825247	144825247	5.68		
451	"Zhao et al.,2018"	4	QTL_Mapping	202	1	12162892	34962573	3.04		
452	"Zhao et al.,2018"	4	QTL_Mapping	202	1	19432785	91256138	3.57		
453	"Zhao et al.,2018"	4	QTL_Mapping	202	1	206507475	215259644	4.2		
454	"Zhao et al.,2018"	4	QTL_Mapping	202	1	206507475	215259644	3.33		
455	"Zhao et al.,2018"	4	QTL_Mapping	218	1	239673088	275551409	12.57		
456	"Zhao et al.,2018"	4	QTL_Mapping	202	1	239673088	275551409	9.89		
457	"Zhao et al.,2018"	4	QTL_Mapping	202	1	239673088	275551409	4.02		
458	"Zhao et al.,2018"	4	QTL_Mapping	218	1	239673088	275551409	10.49		
459	"Zhao et al.,2018"	4	QTL_Mapping	202	1	239673088	275551409	5.05		
460	"Zhao et al.,2018"	4	QTL_Mapping	202	2	4056687	6981198	11.54		
461	"Zhao et al.,2018"	4	QTL_Mapping	202	2	4056687	6981198	4.1		
462	"Zhao et al.,2018"	4	QTL_Mapping	202	2	4056687	6981198	5.19		
463	"Zhao et al.,2018"	4	QTL_Mapping	202	2	4056687	6981198	4.31		
464	"Zhao et al.,2018"	4	QTL_Mapping	218	2	152145552	194426739	3.07		
465	"Zhao et al.,2018"	4	QTL_Mapping	202	4	186656010	200115626	5		
466	"Zhao et al.,2018"	4	QTL_Mapping	202	4	186656010	200115626	3.7		
467	"Zhao et al.,2018"	4	QTL_Mapping	202	5	170955395	172147087	6.44		
468	"Zhao et al.,2018"	4	QTL_Mapping	202	5	170955395	192338978	3.11		
469	"Zhao et al.,2018"	4	QTL_Mapping	202	5	170955395	192338978	5.57		
470	"Zhao et al.,2018"	4	QTL_Mapping	202	6	24609106	88903522	3.15		
471	"Zhao et al.,2018"	4	QTL_Mapping	202	6	24609106	88903522	3.03		
472	"Zhao et al.,2018"	4	QTL_Mapping	202	7	1270201	2844516	8.07		
473	"Zhao et al.,2018"	4	QTL_Mapping	202	7	1270201	2844516	7.33		
474	"Zhao et al.,2018"	4	QTL_Mapping	202	7	1270201	2844516	4.29		
475	"Zhao et al.,2018"	4	QTL_Mapping	202	7	1270201	2844516	9.03		
476	"Zhao et al.,2018"	4	QTL_Mapping	202	7	1270201	2844516	8.97		
477	"Zhao et al.,2018"	4	QTL_Mapping	202	7	1270201	2844516	12.6		
478	"Zhao et al.,2018"	4	QTL_Mapping	202	7	1270201	2844516	10.21		
479	"Zhao et al.,2018"	4	QTL_Mapping	218	7	42495568	116305884	4.11		
480	"Zhao et al.,2018"	4	QTL_Mapping	218	7	42495568	163223908	8.81		
481	"Zhao et al.,2018"	4	QTL_Mapping	218	7	42495568	163223908	5.09		
482	"Zhao et al.,2018"	4	QTL_Mapping	218	7	44194245	116305884	4.14		
483	"Zhao et al.,2018"	4	QTL_Mapping	202	8	91635476	94534166	5		
484	This_Study	6	QTL_Mapping	125	1	275062657	275835496	6.2454		
485	This_Study	6	QTL_Mapping	125	1	275843509	276767207	4.7354		
486	This_Study	6	QTL_Mapping	125	1	275843509	276767207	3.9139		
487	This_Study	6	QTL_Mapping	125	2	180806386	182824212	4.8171		
488	This_Study	6	QTL_Mapping	125	2	227218624	227302619	6.0274		
489	This_Study	6	QTL_Mapping	125	3	29175464	29212960	7.4314		
490	This_Study	6	QTL_Mapping	125	3	36470328	37674938	4.884		
491	This_Study	6	QTL_Mapping	125	3	175591546	176377186	3.4139		
492	This_Study	6	QTL_Mapping	125	3	215170248	215298141	4.952		
493	This_Study	6	QTL_Mapping	125	3	225010933	225429141	4.4587		
494	This_Study	6	QTL_Mapping	125	4	192416147	193325151	4.658		
495	This_Study	6	QTL_Mapping	125	8	102435103	102836776	3.0395		
