Marker	Chromosome	Position	Population
3_2212032	3	19.19	B73
3_2220641	3	19.56	B73
3_2516912	3	20.3	B73
3_2609011	3	20.67	B73
3_2626964	3	21.03	B73
3_2626998	3	21.4	B73
3_2688547	3	21.77	B73
3_2688774	3	22.14	B73
3_2769250	3	22.51	B73
3_2778846	3	22.88	B73
3_2778924	3	23.99	B73
3_2782697	3	24.35	B73
3_2801955	3	24.72	B73
3_2812301	3	25.09	B73
3_2812316	3	25.46	B73
3_2816831	3	25.83	B73
3_3028457	3	26.2	B73
3_3068876	3	26.56	B73
3_3068912	3	26.93	B73
3_3112005	3	27.3	B73
3_3112175	3	27.67	B73
3_3429034	3	28.04	B73
3_3429078	3	28.78	B73
3_3429087	3	29.14	B73
3_3432259	3	29.88	B73
3_3462530	3	30.62	B73
3_3472846	3	30.99	B73
3_3516021	3	31.36	B73
3_3525238	3	31.73	B73
3_3692878	3	32.46	B73
3_3698605	3	32.83	B73
3_3826815	3	33.2	B73
3_3826862	3	33.94	B73
3_3826906	3	34.68	B73
3_3826907	3	35.05	B73
3_3836054	3	35.78	B73
3_3836059	3	36.15	B73
3_3836399	3	36.89	B73
3_4150820	3	37.26	B73
3_4338893	3	37.63	B73
3_4343520	3	38	B73
3_4660929	3	38.36	B73
3_4664516	3	38.73	B73
3_4703931	3	39.1	B73
3_4843181	3	39.47	B73
3_4861040	3	40.21	B73
3_4861946	3	40.58	B73
3_5572161	3	40.95	B73
3_5670153	3	41.31	B73
3_5670161	3	43.17	B73
3_5670178	3	43.54	B73
3_5673926	3	44.28	B73
3_5776573	3	45.02	B73
3_5776574	3	46.5	B73
3_5823921	3	46.87	B73
3_5823922	3	47.24	B73
3_5823929	3	47.61	B73
3_5846628	3	48.35	B73
3_5849337	3	48.71	B73
3_5849460	3	49.45	B73
3_5850356	3	49.82	B73
3_5958015	3	50.56	B73
3_5988830	3	50.93	B73
3_6001198	3	51.67	B73
3_6098394	3	52.03	B73
3_6103588	3	52.77	B73
3_6432575	3	53.14	B73
3_6437114	3	53.51	B73
3_6585243	3	53.88	B73
3_6681789	3	54.25	B73
3_6681820	3	54.62	B73
3_7937918	3	54.98	B73
3_8122984	3	55.35	B73
3_9070378	3	55.72	B73
3_9450337	3	56.09	B73
3_9935740	3	56.46	B73
3_10142963	3	56.83	B73
3_10142995	3	59.83	B73
3_10449644	3	60.19	B73
3_10521727	3	60.56	B73
3_10674683	3	61.3	B73
3_10683580	3	62.04	B73
3_11212287	3	63.15	B73
3_11727621	3	63.89	B73
3_12284532	3	64.26	B73
3_12284533	3	65.74	B73
3_12284551	3	66.11	B73
3_12284552	3	66.48	B73
3_12284553	3	66.85	B73
3_12284554	3	67.96	B73
3_13205843	3	68.32	B73
3_13541466	3	68.69	B73
3_13541473	3	69.43	B73
3_13541477	3	71.67	B73
3_14226665	3	72.4	B73
3_15236532	3	72.77	B73
3_17831523	3	73.14	B73
3_17831696	3	75	B73
3_17925295	3	75.37	B73
3_17925296	3	75.74	B73
3_18219889	3	76.47	B73
3_18260185	3	76.84	B73
3_18434667	3	77.58	B73
3_19165192	3	78.69	B73
3_19451596	3	79.06	B73
3_19451604	3	79.43	B73
3_19463269	3	79.8	B73
3_19514950	3	80.16	B73
3_19924853	3	80.53	B73
3_20308555	3	80.9	B73
3_20714611	3	81.27	B73
3_20714631	3	81.64	B73
3_21260578	3	82.01	B73
3_21425078	3	82.37	B73
3_21755273	3	83.11	B73
3_21999441	3	83.48	B73
3_22572002	3	83.85	B73
3_22875912	3	84.22	B73
3_24905013	3	84.59	B73
3_25351240	3	84.95	B73
3_26451379	3	85.32	B73
3_28336320	3	85.69	B73
3_28352283	3	86.06	B73
3_29613452	3	86.43	B73
3_31555212	3	86.8	B73
3_33745542	3	87.16	B73
3_34498785	3	87.53	B73
3_34680115	3	88.27	B73
3_35237420	3	88.64	B73
3_35753023	3	89.01	B73
3_36224302	3	89.38	B73
3_37611934	3	89.74	B73
3_37611942	3	90.11	B73
3_37674256	3	92.34	B73
3_37869709	3	93.82	B73
3_40323100	3	95.31	B73
3_40446578	3	95.67	B73
3_45696801	3	96.04	B73
3_54115714	3	96.41	B73
3_59812962	3	97.15	B73
3_64361687	3	97.89	B73
3_66861777	3	98.26	B73
3_71667940	3	98.62	B73
3_74295864	3	98.99	B73
3_89606829	3	99.36	B73
3_95392234	3	100.1	B73
3_98514057	3	100.47	B73
3_114355820	3	101.95	B73
3_114431796	3	102.32	B73
3_114431797	3	102.69	B73
3_114782746	3	103.05	B73
3_114793079	3	103.42	B73
3_114880017	3	103.79	B73
3_115307231	3	104.53	B73
3_119135954	3	104.9	B73
3_124187345	3	105.27	B73
3_125745015	3	105.63	B73
3_128097159	3	106	B73
3_130048661	3	106.74	B73
3_131015878	3	107.11	B73
3_142730653	3	107.85	B73
3_147597938	3	108.58	B73
3_150170187	3	108.95	B73
3_154075136	3	110.06	B73
3_154075281	3	111.54	B73
3_154075292	3	112.65	B73
3_154124215	3	113.39	B73
3_154611054	3	113.76	B73
3_154626683	3	114.5	B73
3_154648605	3	114.87	B73
3_155326548	3	115.23	B73
3_155345442	3	115.97	B73
3_155792841	3	116.34	B73
3_155961960	3	116.71	B73
3_158348267	3	117.45	B73
3_158899640	3	118.19	B73
3_160402347	3	118.55	B73
3_160665903	3	118.92	B73
3_160873020	3	119.29	B73
3_161368044	3	120.03	B73
3_162180009	3	120.4	B73
3_166447116	3	121.51	B73
3_166449944	3	121.87	B73
3_167442241	3	122.61	B73
3_167789970	3	122.98	B73
3_169217027	3	123.35	B73
3_170283999	3	124.09	B73
3_170284002	3	124.82	B73
3_170284003	3	125.19	B73
3_171757982	3	125.56	B73
3_172374668	3	125.93	B73
3_172662187	3	126.3	B73
3_172662192	3	126.67	B73
3_172662267	3	127.03	B73
3_173021698	3	127.4	B73
3_173291258	3	127.77	B73
3_173380799	3	128.51	B73
3_175518380	3	128.88	B73
3_176292063	3	129.61	B73
3_176332308	3	130.35	B73
3_176556420	3	130.72	B73
3_176556627	3	131.46	B73
3_176560245	3	131.83	B73
3_177150046	3	132.19	B73
3_178049636	3	132.93	B73
3_178134836	3	133.67	B73
3_178321409	3	135.53	B73
3_178528164	3	136.26	B73
3_178777389	3	136.63	B73
3_179638059	3	137	B73
3_179641693	3	137.74	B73
3_179994504	3	138.85	B73
3_180503728	3	139.22	B73
3_180744499	3	139.58	B73
3_181549457	3	139.95	B73
3_181551935	3	140.32	B73
3_181558847	3	140.69	B73
3_181816932	3	141.06	B73
3_184274627	3	141.8	B73
3_184659591	3	142.53	B73
3_184814443	3	143.27	B73
3_184928744	3	143.64	B73
3_185306085	3	144.01	B73
3_185759393	3	144.75	B73
3_185938416	3	145.12	B73
3_185978148	3	145.48	B73
3_186749550	3	146.22	B73
3_187177014	3	146.96	B73
3_187431921	3	147.33	B73
3_187438275	3	147.7	B73
3_187438440	3	148.06	B73
3_187453462	3	148.43	B73
3_188023157	3	149.54	B73
3_188023166	3	149.91	B73
3_188102898	3	150.28	B73
3_188333861	3	150.65	B73
3_188541869	3	151.02	B73
3_188750674	3	151.75	B73
3_188750675	3	152.12	B73
3_189296904	3	152.49	B73
3_189296937	3	152.86	B73
3_189346966	3	153.23	B73
3_189467043	3	153.6	B73
3_189602440	3	153.96	B73
3_190322697	3	154.33	B73
3_190588478	3	154.7	B73
3_191528415	3	155.07	B73
3_193748019	3	155.81	B73
3_194354636	3	156.55	B73
3_194475477	3	156.91	B73
3_194927149	3	157.65	B73
3_194927151	3	158.76	B73
3_194927156	3	159.13	B73
3_194927584	3	159.87	B73
3_195058460	3	160.24	B73
3_195313716	3	160.98	B73
3_195313719	3	161.34	B73
3_195751300	3	162.45	B73
3_196092201	3	163.19	B73
3_196153894	3	164.3	B73
3_196153895	3	164.67	B73
3_196198547	3	165.41	B73
3_196206729	3	168.02	B73
3_196362943	3	169.5	B73
3_196363473	3	170.24	B73
3_197252327	3	170.98	B73
3_197252358	3	171.72	B73
3_197278622	3	172.46	B73
3_197278634	3	172.83	B73
3_197278833	3	179.31	B73
3_197375672	3	184.6	B73
3_197394546	3	185.71	B73
3_197399708	3	186.82	B73
3_198214924	3	187.19	B73
3_199034627	3	187.56	B73
3_199234692	3	187.93	B73
3_199291905	3	188.29	B73
3_199293347	3	188.66	B73
3_199621432	3	189.4	B73
3_199649493	3	189.77	B73
3_200429915	3	190.14	B73
3_200596355	3	190.88	B73
3_201069017	3	191.24	B73
3_201176499	3	191.61	B73
3_201256326	3	191.98	B73
3_201260762	3	192.35	B73
3_201294461	3	193.09	B73
3_201301820	3	193.46	B73
3_202224080	3	193.83	B73
3_203463415	3	194.19	B73
3_204129191	3	194.56	B73
3_204129275	3	194.93	B73
3_204466244	3	195.3	B73
3_206481917	3	195.67	B73
3_206676074	3	196.41	B73
3_206752259	3	196.78	B73
3_206951696	3	197.14	B73
3_207147899	3	197.88	B73
3_208046277	3	198.25	B73
3_208629458	3	198.62	B73
3_208629470	3	199.36	B73
3_208941816	3	199.73	B73
3_208941834	3	200.1	B73
3_215018919	3	200.83	B73
3_215079568	3	201.2	B73
3_215079608	3	201.57	B73
3_215079609	3	205.35	B73
3_215088428	3	206.46	B73
3_215088631	3	207.95	B73
3_215088638	3	209.06	B73
3_215088949	3	210.55	B73
3_215088951	3	212.41	B73
3_215088952	3	212.78	B73
3_215339567	3	213.89	B73
3_215375486	3	214.26	B73
3_215380459	3	215.37	B73
3_215850361	3	215.73	B73
3_215934883	3	216.1	B73
3_215946273	3	216.47	B73
3_216306247	3	216.84	B73
3_216306250	3	217.21	B73
3_216348311	3	218.32	B73
3_216424232	3	218.69	B73
3_216424319	3	219.06	B73
3_216473045	3	219.42	B73
3_216473051	3	220.16	B73
3_216474726	3	220.53	B73
3_216483643	3	222.02	B73
3_216594333	3	222.39	B73
3_217239486	3	222.75	B73
3_217294568	3	223.86	B73
3_217294576	3	225.35	B73
3_217421513	3	226.46	B73
3_217422329	3	227.2	B73
3_217424871	3	229.05	B73
3_217425065	3	230.16	B73
3_217463861	3	230.53	B73
3_217558117	3	231.64	B73
3_217695151	3	232.01	B73
3_217695192	3	232.38	B73
3_217832315	3	232.75	B73
3_217901061	3	233.12	B73
3_217944679	3	233.49	B73
3_218187140	3	233.85	B73
3_218189857	3	234.22	B73
3_219064097	3	234.59	B73
3_219183389	3	234.96	B73
3_219414485	3	235.33	B73
3_219426451	3	235.7	B73
3_219771251	3	236.44	B73
3_219771255	3	236.8	B73
3_219856967	3	237.54	B73
3_219888243	3	237.91	B73
3_220855248	3	239.02	B73
3_220855254	3	239.39	B73
3_221915060	3	240.13	B73
3_221915993	3	240.87	B73
3_221916004	3	241.24	B73
3_223764039	3	241.61	B73
3_224597542	3	243.09	B73
3_224924732	3	244.2	B73
3_224924763	3	245.31	B73
3_225099016	3	246.05	B73
3_225759878	3	246.79	B73
3_225760145	3	247.16	B73
3_225760187	3	248.64	B73
3_226823826	3	249.01	B73
3_227129563	3	250.12	B73
3_227193107	3	250.49	B73
3_227273491	3	251.23	B73
3_227396461	3	251.6	B73
3_227937781	3	252.34	B73
3_228374852	3	252.7	B73
3_228449827	3	253.07	B73
3_229205579	3	253.81	B73
3_229310099	3	254.18	B73
3_229586717	3	254.55	B73
3_229741772	3	254.92	B73
3_230179649	3	255.66	B73
3_230255870	3	256.39	B73
3_230905918	3	256.76	B73
3_231993897	3	257.5	B73
4_9485623	4	0	B73
4_9485629	4	1.48	B73
4_10217782	4	2.22	B73
4_10219164	4	3.33	B73
4_10651614	4	6.33	B73
4_10656356	4	7.07	B73
4_10770629	4	7.8	B73
4_10770632	4	8.91	B73
4_10803842	4	9.28	B73
4_10877236	4	11.14	B73
4_10901447	4	11.51	B73
4_11265534	4	11.88	B73
4_11411901	4	12.25	B73
4_11694498	4	12.61	B73
4_11694504	4	13.73	B73
4_11836576	4	15.21	B73
4_11886156	4	15.95	B73
4_12036780	4	17.06	B73
4_12036804	4	17.43	B73
4_12036807	4	17.79	B73
4_12036820	4	18.53	B73
4_12117154	4	18.9	B73
4_12779432	4	19.27	B73
4_13165484	4	20.38	B73
4_13814785	4	20.75	B73
4_14112194	4	21.12	B73
4_14572951	4	21.48	B73
4_14573338	4	22.97	B73
4_14573349	4	23.33	B73
4_14591914	4	23.7	B73
4_14931114	4	24.07	B73
4_15206683	4	24.44	B73
4_15529393	4	25.18	B73
4_15529406	4	25.55	B73
4_15580760	4	26.66	B73
4_15617193	4	27.02	B73
4_15668422	4	27.39	B73
4_16213470	4	28.13	B73
4_16767206	4	28.5	B73
4_16843814	4	28.87	B73
4_16844873	4	29.24	B73
4_17159944	4	29.6	B73
4_17333951	4	29.97	B73
4_17334134	4	30.34	B73
4_17412475	4	30.71	B73
4_17414380	4	31.08	B73
4_17415522	4	31.45	B73
4_17417447	4	32.56	B73
4_17418166	4	33.29	B73
4_17418383	4	33.66	B73
4_17855495	4	34.77	B73
4_17855497	4	35.14	B73
4_17855513	4	35.51	B73
4_17855514	4	35.88	B73
4_17981700	4	36.24	B73
4_17983734	4	36.61	B73
4_18117166	4	37.35	B73
4_18682141	4	37.72	B73
4_18689302	4	38.09	B73
4_18689528	4	38.83	B73
4_20176318	4	39.2	B73
4_20398660	4	39.56	B73
4_20510405	4	40.67	B73
4_20547517	4	41.04	B73
4_21137086	4	41.78	B73
4_21137094	4	42.15	B73
4_22553686	4	42.52	B73
4_22555026	4	42.89	B73
4_22836517	4	43.25	B73
4_22836520	4	43.62	B73
4_22836534	4	43.99	B73
4_22979610	4	44.36	B73
4_23166402	4	44.73	B73
4_23426426	4	45.1	B73
4_25789855	4	45.83	B73
4_26298094	4	46.57	B73
4_29111148	4	46.94	B73
4_29169478	4	47.68	B73
4_29169516	4	48.42	B73
4_29169573	4	48.78	B73
4_29210663	4	49.15	B73
4_30427538	4	49.52	B73
4_30471219	4	49.89	B73
4_30474283	4	50.26	B73
4_30651240	4	51	B73
4_31712461	4	51.73	B73
4_32060613	4	52.1	B73
4_32692686	4	52.84	B73
4_33122136	4	53.21	B73
4_36026754	4	54.32	B73
4_36886856	4	54.69	B73
4_37761900	4	55.06	B73
4_38021831	4	55.42	B73
4_38021832	4	55.79	B73
4_38021838	4	61.08	B73
4_38027836	4	65.59	B73
4_38027843	4	66.33	B73
4_39543726	4	67.81	B73
4_40351616	4	68.18	B73
4_41786249	4	68.55	B73
4_41894974	4	68.92	B73
4_42814919	4	69.29	B73
4_59248682	4	69.66	B73
4_60025550	4	70.02	B73
4_60175068	4	70.76	B73
4_61532217	4	71.5	B73
4_63912591	4	71.87	B73
4_67025278	4	72.24	B73
4_67025295	4	72.98	B73
4_67652653	4	74.83	B73
4_67655446	4	75.94	B73
4_67740234	4	76.31	B73
4_68404798	4	78.16	B73
4_68404801	4	79.27	B73
4_73773043	4	80.75	B73
4_76037719	4	81.12	B73
4_77448132	4	81.49	B73
4_82892876	4	81.86	B73
4_82893617	4	82.23	B73
4_83861164	4	82.6	B73
4_90084273	4	82.96	B73
4_90797095	4	83.33	B73
4_102359307	4	83.7	B73
4_107972830	4	84.07	B73
4_122870216	4	84.44	B73
4_126084300	4	84.81	B73
4_130432642	4	85.17	B73
4_146135080	4	85.91	B73
4_151405481	4	86.65	B73
4_154381914	4	87.39	B73
4_155009854	4	88.13	B73
4_155294892	4	88.87	B73
4_155296785	4	89.23	B73
4_156023882	4	89.6	B73
4_157920244	4	89.97	B73
4_158865691	4	91.08	B73
4_159570347	4	92.56	B73
4_159570360	4	93.3	B73
4_159725976	4	93.67	B73
4_159725979	4	94.41	B73
4_159909473	4	94.78	B73
4_159978525	4	95.89	B73
4_160277631	4	96.25	B73
4_161500101	4	96.62	B73
4_161500328	4	97.36	B73
4_162907836	4	97.73	B73
4_164095195	4	98.1	B73
4_164263827	4	98.47	B73
4_164263863	4	98.83	B73
4_166924982	4	99.2	B73
4_166927555	4	99.57	B73
4_167033583	4	99.94	B73
4_168838258	4	101.8	B73
4_169013544	4	102.16	B73
4_171215058	4	102.9	B73
4_171215970	4	104.01	B73
4_171450667	4	104.75	B73
4_171771693	4	105.49	B73
4_171917807	4	106.97	B73
4_172080571	4	107.34	B73
4_172835173	4	108.45	B73
4_172835253	4	109.56	B73
4_172993052	4	109.93	B73
4_172993055	4	110.67	B73
4_173619465	4	111.04	B73
4_173719484	4	111.41	B73
4_174954825	4	111.77	B73
4_175223274	4	113.26	B73
4_175273393	4	113.63	B73
4_175277954	4	115.11	B73
4_175277958	4	115.48	B73
4_175739782	4	116.22	B73
4_176502289	4	116.59	B73
4_176809406	4	117.32	B73
4_177122026	4	118.06	B73
4_177439323	4	118.43	B73
4_179708833	4	119.17	B73
4_180429924	4	119.54	B73
4_180433531	4	120.65	B73
4_181871673	4	121.02	B73
4_181871681	4	121.38	B73
4_182010198	4	122.12	B73
4_185695142	4	123.61	B73
4_186876166	4	125.09	B73
4_187278007	4	125.46	B73
4_187417767	4	127.32	B73
4_187417780	4	127.68	B73
4_191225783	4	128.79	B73
4_192217276	4	129.16	B73
4_192217300	4	129.53	B73
4_192217301	4	130.27	B73
4_193147210	4	131.01	B73
4_193155781	4	131.38	B73
4_193155802	4	131.74	B73
4_193226235	4	132.11	B73
4_195203526	4	132.48	B73
4_195203690	4	132.85	B73
4_195531725	4	133.96	B73
4_195797492	4	134.33	B73
4_196813105	4	135.06	B73
4_197387188	4	135.43	B73
4_198773740	4	135.8	B73
4_200529830	4	136.91	B73
4_200538608	4	137.28	B73
4_211047341	4	137.65	B73
4_211083801	4	138.02	B73
4_211533958	4	138.38	B73
4_212321980	4	139.12	B73
4_214652202	4	139.49	B73
4_215106314	4	140.23	B73
4_215106315	4	140.6	B73
4_215106320	4	140.96	B73
4_215106321	4	141.33	B73
4_215228835	4	142.07	B73
4_215392165	4	142.44	B73
4_215999603	4	143.92	B73
4_218320370	4	144.29	B73
4_218787934	4	144.66	B73
4_219994079	4	145.03	B73
4_220210383	4	145.4	B73
4_222473769	4	146.13	B73
4_222712588	4	146.5	B73
4_222958873	4	147.24	B73
4_224072680	4	147.61	B73
4_224911597	4	148.35	B73
4_225557644	4	148.72	B73
4_226618442	4	149.45	B73
4_226620999	4	150.19	B73
4_226621042	4	150.56	B73
4_226678250	4	150.93	B73
4_226834919	4	151.3	B73
4_227035659	4	151.66	B73
4_227274591	4	152.03	B73
4_227554105	4	152.77	B73
4_228555224	4	153.51	B73
4_229343428	4	153.88	B73
4_229739469	4	154.99	B73
4_230190651	4	156.1	B73
4_230190745	4	156.47	B73
4_230562142	4	156.83	B73
4_230801949	4	157.2	B73
4_231563625	4	157.57	B73
4_232001464	4	157.94	B73
4_233636122	4	158.68	B73
4_233636224	4	159.05	B73
4_233757495	4	159.41	B73
4_233763703	4	159.78	B73
4_234054740	4	160.15	B73
4_235363879	4	160.52	B73
4_235397329	4	160.89	B73
4_235728621	4	162.37	B73
4_235761858	4	163.48	B73
4_236701087	4	164.59	B73
4_236860156	4	165.33	B73
4_236951909	4	166.82	B73
4_237682064	4	169.43	B73
4_237898483	4	169.8	B73
4_237898508	4	170.17	B73
4_237898681	4	172.41	B73
4_237951483	4	172.78	B73
4_238437442	4	174.64	B73
4_238933416	4	176.5	B73
4_239728918	4	176.87	B73
4_239933755	4	178.73	B73
4_239933758	4	180.59	B73
4_240446827	4	180.96	B73
4_240446853	4	181.7	B73
4_240545199	4	182.44	B73
5_4019895	5	0	B73
5_4039418	5	0.37	B73
5_4322913	5	1.48	B73
5_4322924	5	1.85	B73
5_5229519	5	2.58	B73
5_5229541	5	4.44	B73
5_5229542	5	5.55	B73
5_5229543	5	8.54	B73
5_5229544	5	8.91	B73
5_5378673	5	9.65	B73
5_5433692	5	11.88	B73
5_5435375	5	13.37	B73
5_5626605	5	14.1	B73
5_5626614	5	14.84	B73
5_5890777	5	15.21	B73
5_5904206	5	15.58	B73
5_6382105	5	15.95	B73
5_6382930	5	16.69	B73
5_6513261	5	17.05	B73
5_6568411	5	17.42	B73
5_6569878	5	18.16	B73
5_6613075	5	19.27	B73
5_6617698	5	19.64	B73
5_6673261	5	20.01	B73
5_6673262	5	20.74	B73
5_6806853	5	21.11	B73
5_6870606	5	21.48	B73
5_6914015	5	21.85	B73
5_6993187	5	22.22	B73
5_7249966	5	22.59	B73
5_7250236	5	22.95	B73
5_7293401	5	23.32	B73
5_7293431	5	24.8	B73
5_7293646	5	25.17	B73
5_7444153	5	26.28	B73
5_7689877	5	27.02	B73
5_7872622	5	27.39	B73
5_8494995	5	27.76	B73
5_8541619	5	28.12	B73
5_8546737	5	28.49	B73
5_8546750	5	28.86	B73
5_8546757	5	29.6	B73
5_9246498	5	29.97	B73
5_9246803	5	30.34	B73
5_9246848	5	30.7	B73
5_9375093	5	31.81	B73
5_9498536	5	32.18	B73
5_9525613	5	32.55	B73
5_9662003	5	32.92	B73
5_9825263	5	33.29	B73
5_10078945	5	33.65	B73
5_10106967	5	34.02	B73
5_10118528	5	34.39	B73
5_10118530	5	35.13	B73
5_10133343	5	36.24	B73
5_10279269	5	36.61	B73
5_10705494	5	36.97	B73
5_11598871	5	37.34	B73
5_11695101	5	37.71	B73
5_11923330	5	38.08	B73
5_12570202	5	38.45	B73
5_12570203	5	39.56	B73
5_12570954	5	39.93	B73
5_12572235	5	40.29	B73
5_12572509	5	41.78	B73
5_12572648	5	42.14	B73
5_12585030	5	42.51	B73
5_13427902	5	42.88	B73
5_13503546	5	43.25	B73
5_13802037	5	44.36	B73
5_14022205	5	45.1	B73
5_14060897	5	45.46	B73
5_14511498	5	45.83	B73
5_14587375	5	46.2	B73
5_14854900	5	46.57	B73
5_15193120	5	46.94	B73
5_15193467	5	47.31	B73
5_15957483	5	48.04	B73
5_15957670	5	48.41	B73
5_17382374	5	48.78	B73
5_18371169	5	49.15	B73
5_18994521	5	49.89	B73
5_19134185	5	50.26	B73
5_19462156	5	50.62	B73
5_19918703	5	50.99	B73
5_20605033	5	51.36	B73
5_20908109	5	52.1	B73
5_20917213	5	52.47	B73
5_20968395	5	52.84	B73
5_20987360	5	53.57	B73
5_21342492	5	53.94	B73
5_21342504	5	54.31	B73
5_22181199	5	54.68	B73
5_22288584	5	55.05	B73
5_22759394	5	55.78	B73
5_22777021	5	56.15	B73
5_23021081	5	56.89	B73
5_23877946	5	57.63	B73
5_24343653	5	58	B73
5_24439587	5	59.48	B73
5_24543647	5	60.22	B73
5_24616958	5	62.07	B73
5_25490067	5	62.44	B73
5_28381935	5	62.81	B73
5_30777325	5	63.18	B73
5_31658370	5	63.55	B73
5_31877798	5	63.91	B73
5_34753552	5	64.28	B73
5_36981594	5	64.65	B73
5_38013727	5	65.02	B73
5_42845112	5	65.39	B73
5_43738022	5	66.13	B73
5_43838807	5	67.24	B73
5_47581712	5	67.97	B73
5_47822855	5	68.34	B73
5_48275401	5	68.71	B73
5_48503618	5	69.45	B73
5_50552665	5	69.82	B73
5_52137660	5	70.19	B73
5_53240890	5	70.55	B73
5_53522966	5	70.92	B73
5_54164191	5	71.29	B73
5_54613093	5	71.66	B73
5_54916355	5	72.03	B73
5_55582078	5	72.4	B73
5_56477981	5	73.13	B73
5_56901755	5	73.5	B73
5_58727583	5	74.61	B73
5_58756175	5	75.35	B73
5_58756348	5	75.72	B73
5_59720625	5	76.46	B73
5_59723370	5	76.83	B73
5_60520579	5	77.19	B73
5_60539188	5	77.56	B73
5_60989986	5	77.93	B73
5_62604338	5	78.67	B73
5_62756668	5	79.04	B73
5_69306843	5	79.41	B73
5_70035620	5	79.77	B73
5_71268458	5	80.14	B73
5_71381450	5	80.51	B73
5_73122670	5	80.88	B73
5_74503103	5	81.25	B73
5_74510937	5	81.62	B73
5_74615325	5	81.99	B73
5_76381644	5	82.72	B73
5_76678126	5	83.09	B73
5_76678127	5	83.46	B73
5_86262760	5	84.2	B73
5_88189349	5	84.57	B73
5_89005776	5	84.94	B73
5_99501486	5	85.67	B73
5_100157583	5	86.04	B73
5_100157806	5	86.41	B73
5_100157827	5	87.15	B73
5_100209943	5	87.52	B73
5_102984297	5	87.89	B73
5_127605415	5	88.25	B73
5_133626180	5	88.62	B73
5_134191579	5	93.53	B73
5_134470895	5	96.52	B73
5_134489952	5	97.63	B73
5_134787729	5	98	B73
5_141130124	5	98.74	B73
5_141130129	5	99.1	B73
5_141130276	5	99.47	B73
5_141253233	5	99.84	B73
5_143958760	5	101.32	B73
5_144069881	5	101.69	B73
5_144809981	5	102.06	B73
5_146711951	5	102.43	B73
5_146711960	5	103.54	B73
5_146711964	5	103.91	B73
5_146842548	5	104.28	B73
5_146843755	5	105.01	B73
5_146894693	5	105.38	B73
5_150509095	5	106.12	B73
5_150612613	5	106.49	B73
5_150739246	5	106.86	B73
5_151989388	5	107.23	B73
5_151989581	5	107.59	B73
5_152605174	5	107.96	B73
5_152831212	5	108.33	B73
5_152918059	5	108.7	B73
5_154658580	5	109.44	B73
5_159944968	5	110.55	B73
5_160081320	5	110.92	B73
5_160081344	5	111.29	B73
5_167784588	5	111.65	B73
5_169680620	5	112.39	B73
5_169680648	5	113.13	B73
5_169815165	5	113.5	B73
5_171176022	5	114.24	B73
5_171297404	5	114.98	B73
5_174168947	5	115.72	B73
5_174285589	5	116.08	B73
5_174592489	5	116.82	B73
5_174935461	5	117.19	B73
5_175589184	5	117.56	B73
5_175592302	5	117.93	B73
5_175592632	5	118.67	B73
5_175731033	5	119.03	B73
5_179024347	5	119.4	B73
5_180185439	5	120.14	B73
5_182051186	5	120.51	B73
5_182137899	5	121.25	B73
5_182519148	5	121.62	B73
5_182592061	5	122.73	B73
5_183206592	5	123.47	B73
5_188478761	5	124.95	B73
5_188478770	5	125.32	B73
5_188478771	5	126.43	B73
5_188488618	5	126.8	B73
5_188667327	5	127.16	B73
5_188667428	5	128.27	B73
5_188717941	5	128.64	B73
5_188717970	5	129.38	B73
5_188829239	5	129.75	B73
5_188936443	5	130.12	B73
5_189458356	5	130.49	B73
5_189832682	5	130.85	B73
5_190241467	5	131.22	B73
5_191121057	5	131.59	B73
5_191121066	5	131.96	B73
5_191375957	5	133.07	B73
5_191912231	5	138.36	B73
5_191990997	5	141.34	B73
5_192230247	5	142.08	B73
5_193727929	5	142.82	B73
5_193912713	5	143.18	B73
5_193967783	5	143.55	B73
5_194045466	5	143.92	B73
5_194163064	5	144.29	B73
5_195306577	5	145.03	B73
5_195542142	5	145.4	B73
5_195542155	5	145.76	B73
5_196411877	5	146.13	B73
5_196556908	5	146.5	B73
5_196611053	5	146.87	B73
5_198063331	5	147.24	B73
5_199389627	5	147.61	B73
5_199983864	5	147.97	B73
5_200318602	5	148.34	B73
5_200688772	5	148.71	B73
5_202420210	5	149.08	B73
5_202517338	5	150.19	B73
5_203210150	5	150.56	B73
5_204064923	5	151.29	B73
5_204625103	5	151.66	B73
5_205729638	5	152.03	B73
5_206917176	5	152.4	B73
5_208069452	5	152.77	B73
5_208094128	5	153.88	B73
5_208173287	5	154.99	B73
5_208173296	5	156.84	B73
5_208198581	5	159.08	B73
5_208568616	5	160.94	B73
5_208641525	5	162.05	B73
5_208675642	5	164.29	B73
5_208900714	5	166.15	B73
5_208900717	5	167.63	B73
5_208919459	5	168	B73
5_209183618	5	168.37	B73
5_209722095	5	169.85	B73
5_210303111	5	170.22	B73
5_211323063	5	170.96	B73
5_213077650	5	171.69	B73
5_213107042	5	172.06	B73
5_214078250	5	172.8	B73
5_214708386	5	174.66	B73
5_216950849	5	176.14	B73
5_217416666	5	177.63	B73
6_4440103	6	0	B73
6_4609887	6	0.37	B73
6_4844023	6	1.85	B73
6_4844037	6	2.22	B73
6_6259251	6	2.59	B73
6_6529337	6	2.96	B73
6_6902132	6	3.69	B73
6_6902151	6	4.8	B73
6_14169332	6	5.17	B73
6_18646911	6	5.54	B73
6_18647222	6	6.65	B73
